Received Value 526.2, 2023-05-30 19:15:34.590711
Sent Value 526.2, 2023-05-30 19:15:34.594952
Received Value 536.3, 2023-05-30 19:15:34.598702
Sent Value 536.3, 2023-05-30 19:15:34.599409
Received Value 536.3, 2023-05-30 19:15:34.602517
Sent Value 546.4, 2023-05-30 19:15:34.606944
Received Value 556.5, 2023-05-30 19:15:34.610772
Sent Value 556.5, 2023-05-30 19:15:34.611413
Received Value 556.5, 2023-05-30 19:15:34.615504
Sent Value 566.6, 2023-05-30 19:15:34.619432
Received Value 576.7, 2023-05-30 19:15:34.623203
Sent Value 576.7, 2023-05-30 19:15:34.623903
Received Value 576.7, 2023-05-30 19:15:34.627070
Sent Value 586.8, 2023-05-30 19:15:34.631491
Received Value 596.9, 2023-05-30 19:15:34.635263
Sent Value 596.9, 2023-05-30 19:15:34.639720
Received Value 607.0, 2023-05-30 19:15:34.643497
Sent Value 607.0, 2023-05-30 19:15:34.644187
Received Value 607.0, 2023-05-30 19:15:34.648271
Sent Value 617.1, 2023-05-30 19:15:34.652460
Received Value 627.2, 2023-05-30 19:15:34.656205
Sent Value 627.2, 2023-05-30 19:15:34.660371
Received Value 637.3, 2023-05-30 19:15:34.664132
Sent Value 637.3, 2023-05-30 19:15:34.664838
Received Value 637.3, 2023-05-30 19:15:34.667996
Sent Value 647.4, 2023-05-30 19:15:34.672450
Received Value 657.5, 2023-05-30 19:15:34.677358
Sent Value 657.5, 2023-05-30 19:15:34.681010
Received Value 667.6, 2023-05-30 19:15:34.684898
Sent Value 667.6, 2023-05-30 19:15:34.685453
Received Value 667.6, 2023-05-30 19:15:34.689451
Sent Value 677.7, 2023-05-30 19:15:34.697777
Received Value 687.8, 2023-05-30 19:15:34.698338
Sent Value 687.8, 2023-05-30 19:15:34.698694
Received Value 697.9, 2023-05-30 19:15:34.704765
Sent Value 697.9, 2023-05-30 19:15:34.705486
Received Value 708.0, 2023-05-30 19:15:34.709527
Sent Value 708.0, 2023-05-30 19:15:34.710272
Received Value 708.0, 2023-05-30 19:15:34.713387
Sent Value 718.1, 2023-05-30 19:15:34.718009
Received Value 728.2, 2023-05-30 19:15:34.721751
Sent Value 728.2, 2023-05-30 19:15:34.722334
Received Value 728.2, 2023-05-30 19:15:34.725605
Sent Value 738.3, 2023-05-30 19:15:34.730266
Received Value 748.4, 2023-05-30 19:15:34.734025
Sent Value 748.4, 2023-05-30 19:15:34.738195
Received Value 758.5, 2023-05-30 19:15:34.742015
Sent Value 758.5, 2023-05-30 19:15:34.742815
Received Value 758.5, 2023-05-30 19:15:34.746028
Sent Value 768.6, 2023-05-30 19:15:34.750768
Received Value 778.7, 2023-05-30 19:15:34.754496
Sent Value 778.7, 2023-05-30 19:15:34.758855
Received Value 788.8, 2023-05-30 19:15:34.762520
Sent Value 788.8, 2023-05-30 19:15:34.763080
Received Value 788.8, 2023-05-30 19:15:34.766346
Sent Value 798.9, 2023-05-30 19:15:34.770686
Received Value 809.0, 2023-05-30 19:15:34.774454
Sent Value 809.0, 2023-05-30 19:15:34.778992
Received Value 819.1, 2023-05-30 19:15:34.782757
Sent Value 819.1, 2023-05-30 19:15:34.783456
Received Value 819.1, 2023-05-30 19:15:34.787519
Sent Value 829.2, 2023-05-30 19:15:34.791420
Received Value 839.3, 2023-05-30 19:15:34.795201
Sent Value 839.3, 2023-05-30 19:15:34.795880
Received Value 839.3, 2023-05-30 19:15:34.799062
Sent Value 849.4, 2023-05-30 19:15:34.803487
Received Value 859.5, 2023-05-30 19:15:34.807252
